Make;Model;Annual Petroleum Consumption For Fuel Type1;Annual Petroleum Consumption For Fuel Type2;Time to charge at 120V;Time to charge at 240V;City Mpg For Fuel Type1;Unrounded City Mpg For Fuel Type1 (2);City Mpg For Fuel Type2;Unrounded City Mpg For Fuel Type2;City gasoline consumption;City electricity consumption;EPA city utility factor;Co2 Fuel Type1;Co2 Fuel Type2;Co2  Tailpipe For Fuel Type2;Co2  Tailpipe For Fuel Type1;Combined Mpg For Fuel Type1;Unrounded Combined Mpg For Fuel Type1;Combined Mpg For Fuel Type2;Unrounded Combined Mpg For Fuel Type2;Combined electricity consumption;Combined gasoline consumption;EPA combined utility factor;Cylinders;Engine displacement;Drive;EPA model type index;Engine descriptor;EPA Fuel Economy Score;Annual Fuel Cost For Fuel Type1;Annual Fuel Cost For Fuel Type2;Fuel Type;Fuel Type1;GHG Score;GHG Score Alternative Fuel;Highway Mpg For Fuel Type1;Unrounded Highway Mpg For Fuel Type1;Highway Mpg For Fuel Type2;Unrounded Highway Mpg For Fuel Type2;Highway gasoline consumption;Highway electricity consumption;EPA highway utility factor;Hatchback luggage volume;Hatchback passenger volume;ID;2 door luggage volume;4 door luggage volume;MPG Data;PHEV Blended;2-door passenger volume;4-door passenger volume;Range For Fuel Type1;Range  City For Fuel Type1;Range  City For Fuel Type2;Range  Highway For Fuel Type1;Range  Highway For Fuel Type2;Transmission;Unadjusted City Mpg For Fuel Type1;Unadjusted City Mpg For Fuel Type2;Unadjusted Highway Mpg For Fuel Type1;Unadjusted Highway Mpg For Fuel Type2;Vehicle Size Class;Year;You Save/Spend;Guzzler;Transmission descriptor;T Charger;S Charger;ATV Type;Fuel Type2;Epa Range For Fuel Type2;Electric motor;MFR Code;c240Dscr;charge240b;C240B Dscr;Created On;Modified On;Start-Stop;PHEV City;PHEV Highway;PHEV Combined;baseModel
Toyota;Corolla Sport;11.018888888888888;0.0;0.0;0.0;24;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;329.14814814814815;27;0.0;0;0.0;0.0;0.0;0.0;4;1.6;Rear-Wheel Drive;57020;FFS;;2000;0;Regular;Regular Gasoline;;;30;0.0;0;0.0;0.0;0.0;0.0;12;77;1927;9;0;N;false;78;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;31.1111;0.0;42.3077;0.0;Subcompact Cars;1986;-500;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Corolla
Toyota;Camry Solara;12.39625;0.0;0.0;0.0;21;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;370.2916666666667;24;0.0;0;0.0;0.0;0.0;0.0;4;2.4;Front-Wheel Drive;0;;;2250;0;Regular;Regular Gasoline;;;30;0.0;0;0.0;0.0;0.0;0.0;0;0;19673;14;0;N;false;92;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;26.6;0.0;42.5;0.0;Compact Cars;2004;-1750;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Camry
Toyota;Echo;9.597096774193549;0.0;0.0;0.0;28;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;286.6774193548387;31;0.0;0;0.0;0.0;0.0;0.0;4;1.5;Front-Wheel Drive;0;;;1750;0;Regular;Regular Gasoline;;;36;0.0;0;0.0;0.0;0.0;0.0;0;0;19677;14;14;N;false;87;86;0;0.0;0.0;0.0;0.0;Automatic 4-spd;36.7399;0.0;50.3196;0.0;Compact Cars;2004;750;;CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Echo
Toyota;Tacoma 2WD;18.594375;0.0;0.0;0.0;15;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;555.4375;16;0.0;0;0.0;0.0;0.0;0.0;6;3.4;Rear-Wheel Drive;0;;;3350;0;Regular;Regular Gasoline;;;19;0.0;0;0.0;0.0;0.0;0.0;0;0;20022;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 4-spd;18.4003;0.0;25.7003;0.0;Standard Pickup Trucks 2WD;2004;-7250;;2MODE CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Tacoma
Toyota;Tundra 4WD;18.594375;0.0;0.0;0.0;15;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;555.4375;16;0.0;0;0.0;0.0;0.0;0.0;6;3.4;4-Wheel or All-Wheel Drive;0;;;3350;0;Regular;Regular Gasoline;;;18;0.0;0;0.0;0.0;0.0;0.0;0;0;20084;0;0;N;false;0;0;0;0.0;0.0;0.0;0.0;Manual 5-spd;17.9974;0.0;24.2;0.0;Standard Pickup Trucks 4WD;2004;-7250;;;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Tundra
Toyota;Sequoia 4WD;19.834;0.0;0.0;0.0;13;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;592.4666666666667;15;0.0;0;0.0;0.0;0.0;0.0;8;4.7;4-Wheel or All-Wheel Drive;0;;;3600;0;Regular;Regular Gasoline;;;16;0.0;0;0.0;0.0;0.0;0.0;0;0;21485;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 5-spd;16.4496;0.0;22.4947;0.0;Sport Utility Vehicle - 4WD;2005;-8500;;CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Sequoia
Toyota;Highlander 4WD;15.65842105263158;0.0;0.0;0.0;16;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;467.7368421052632;19;0.0;0;0.0;0.0;0.0;0.0;6;3.3;4-Wheel or All-Wheel Drive;0;;;2850;0;Regular;Regular Gasoline;;;22;0.0;0;0.0;0.0;0.0;0.0;0;0;22601;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 5-spd;20.5;0.0;30.6;0.0;Sport Utility Vehicle - 4WD;2006;-4750;;CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Highlander
Toyota;RAV4 2WD;13.52318181818182;0.0;0.0;0.0;19;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;403.95454545454544;22;0.0;0;0.0;0.0;0.0;0.0;6;3.5;Front-Wheel Drive;0;;;2450;0;Regular;Regular Gasoline;;;27;0.0;0;0.0;0.0;0.0;0.0;0;0;22688;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 5-spd;24.3984;0.0;37.3499;0.0;Sport Utility Vehicle - 2WD;2006;-2750;;CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;RAV4
Toyota;Camry Hybrid;8.750294117647059;0.0;0.0;0.0;33;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;261.38235294117646;34;0.0;0;0.0;0.0;0.0;0.0;4;2.4;Front-Wheel Drive;0;HEV;;1600;0;Regular;Regular Gasoline;;;34;0.0;0;0.0;0.0;0.0;0.0;0;0;22825;0;11;Y;false;0;101;0;0.0;0.0;0.0;0.0;Automatic (variable gear ratios);44.2454;0.0;48.2;0.0;Midsize Cars;2007;1500;;;;;Hybrid;;;;;;0.0;;2013-01-01;2020-06-02;Y;0;0;0;Camry
Toyota;Highlander 2WD;15.65842105263158;0.0;0.0;0.0;17;0.0;0;0.0;0.0;0.0;0.0;-1;-1;0.0;467.7368421052632;19;0.0;0;0.0;0.0;0.0;0.0;6;3.3;Front-Wheel Drive;0;;;2850;0;Regular;Regular Gasoline;;;23;0.0;0;0.0;0.0;0.0;0.0;0;0;23766;0;0;Y;false;0;0;0;0.0;0.0;0.0;0.0;Automatic 5-spd;21.4;0.0;31.5;0.0;Sport Utility Vehicle - 2WD;2007;-4750;;CLKUP;;;;;;;;;0.0;;2013-01-01;2013-01-01;;0;0;0;Highlander
